"","Y","X1","X2","X3","X4"
"137",12074.19,100.63,99.64,99.58,101.13
"138",12204.65,101.92,100.79,100.65,102.85
"139",11801.78,97.85,98.88,98.03,97.73
"140",12045.45,101.42,100.6,100.28,99.24
"141",11886.73,99.25,98.84,99.15,98.16
"142",12131.82,100.26,102.72,100.31,100.9
"143",11922.3,99.99,100.23,99.16,98.2
"144",12019.44,99.91,99.85,99.75,100.43
"145",11952.18,99.43,99.89,99.28,99.29
"146",11999.36,99.84,99.03,100.02,99.81
"147",11878.77,98.84,98.88,98.8,98.45
"148",11993.47,100.13,100.67,99.42,99.12
"149",11769.43,99.11,98.16,98.23,96.76
"150",12199.69,101.45,100.6,101.87,101.7
